name,address,gps_lat,gps_lng,town_name,type
"Aire de covoiturage de Intermarché. Cap Ouest","Parc d'activé Cap Ouest. 56350 Allaire",47.633338,-2.176899,Allaire,"Aire de covoiturage"
"Aire de covoiturage de Sainte Julitte","E60. 56190 Muzillac",47.584446,-2.545577,Ambon,"Aire de covoiturage"
Eglise,"Arbrissel - parking de l'église",47.9276331656866,-1.30347200045056,Arbrissel,"Aire de covoiturage"
"Aire de covoiturage de Botquelen","28 Route de Parc Botquelen. 56610 Arradon",47.64101,-2.818309,Arradon,"Aire de covoiturage"
"Aire de covoiturage de La Corne du Cerf","D139. 56190 Arzal",47.53387,-2.390261,Arzal,"Aire de covoiturage"
"Parking Rue Leen Vihan (En Face de La Maison du Port)","Le Crouesty. 56640 Arzon",47.545612,-2.88907,Arzon,"Aire de covoiturage"
"Rond Point de Baden","Rue de l'éle Réno. 56870 Baden",47.621141,-2.906745,Baden,"Aire de covoiturage"
"Croix Blanche","La Croix Blanche",47.8537137505543,-1.68010291421574,Bain-De-Bretagne,"Aire de covoiturage"
"ZA Chateaugaillard","Rue de la Seine",47.8518850842921,-1.69132066632774,Bain-De-Bretagne,"Aire de covoiturage"
"Les Landes",D60xD177,47.6903561648678,-2.05742805316211,Bains-Sur-Oust,"Aire de covoiturage"
"Rue du stade","Rue du stade",47.7053057781406,-2.06984072116574,Bains-Sur-Oust,"Aire de covoiturage"
"Rue des lilas","Rue des lilas",48.1669917471799,-1.18795300599971,Balazé,"Aire de covoiturage"
"Pont de Baud","Pont de Baud. 56150 Baud",47.864843,-3.017616,Baud,"Aire de covoiturage"
"Aire de covoiturage de Kermestre","Z.A. le dresséve. 56150 Baud",47.89663,-3.010244,Baud,"Aire de covoiturage"
"Aire de covoiturage Lenn Veur","180 Rue Jean Marie Carer. 29300 Baye",47.85639796,-3.605252657,Baye,"Aire de covoiturage"
"Parking salle de sport","Rue de la Vallée",48.4270692733778,-1.57217338758439,Bazouge-La-Pérouse,"Aire de covoiturage"
"Mairie de Bécherel",Mairie,48.29712467,-1.945848333,Bécherel,Parking
Intercommunale,"Rennes Métropole",48.2968974918323,-1.94630004256493,Bécherel,"Aire de covoiturage"
"Aire de covoiturage de Poulhibet",,47.94957,-3.384107,Berne,"Aire de covoiturage"
"La Haute Plesse","La Haute Plesse",48.1799018316766,-1.62705866596866,Betton,"Aire de covoiturage"
"Aire de covoiturage L'Orme","Rue de l'Orme - RD 786",48.59408176,-2.826562375,Binic-Étables-Sur-Mer,"Aire de covoiturage"
"Aire de covoiturage de Bel Orient","Parc de Bel Orient. 56140 Bohal",47.781561,-2.455255,Bohal,"Aire de covoiturage"
"Rond Point de Bel Air","RD48 Rd Point de Bel Air",47.9294120395669,-1.674877660059,Bourg-Des-Comptes,"Aire de covoiturage"
"Aire de covoiturage de Boul Sapin","ZA de la Gare. 56700 BranDérion",47.782196,-3.197375,Branderion,"Aire de covoiturage"
"Les 4 routes","Les 4 routes",48.061167083203,-1.87775133236815,Bréal-Sous-Montfort,"Aire de covoiturage"
"Breal sous Vitré","Route des Lagunes",48.0992454216502,-1.06854432808248,Breal-Sous-Vitre,"Aire de covoiturage"
"Aire de covoiturage de Kérisan","E60. 56400 Brech",47.683491,-3.022979,Brech,"Aire de covoiturage"
"Aire de covoiturage Kerlez","1451 Z I N 2 des Pays Bas. 29510 Briec",48.10050821,-4.029732128,Briec,"Aire de covoiturage"
"Aire de covoiturage Le Chalet","Parking Intermarché",48.3223247,-2.251687902,Broons,"Aire de covoiturage"
"La Louvière","La Louvière",48.0264241458626,-1.76733307426994,Bruz,"Aire de covoiturage"
"Aire de covoiturage Kerguiniou","Giratoire RD 787 - RD 28",48.40856996,-3.405110898,Callac,"Aire de covoiturage"
"Aire de covoiturage de Les Vieilles Roches","227 La Perriére. 56130 Camoél",47.483215,-2.385391,Camoel,"Aire de covoiturage"
"Aire de covoiturage de Le Linvo","D134. 56800 Campénéac",47.940217,-2.285434,Campeneac,"Aire de covoiturage"
"Aire de covoiturage Kerjeanne","Kerjeanne. 29660 Carantec",48.65176241,-3.923494193,Carantec,"Aire de covoiturage"
"Aire de covoiturage La Villeneuve","Parc d'Activités de la Villeneuve. Rue Général Jacques de la Bollardiére. 29270 Carhaix-Plouguer",48.27557053,-3.539572584,Carhaix-Plouguer,"Aire de covoiturage"
"Aire de covoiturage de Le Purgatoire","Crucuny. 56340 Carnac",47.621582,-3.073447,Carnac,"Aire de covoiturage"
"Aire de covoiturage de Kercado","D769. 56850 Caudan",47.816587,-3.333067,Carnac,"Aire de covoiturage"
"Aire de covoiturage de Kergroix","Kergroix. 56340 Carnac",47.638065,-3.048336,Carnac,"Aire de covoiturage"
"Aire de covoiturage de Le Grand Village","Le Cormier. 56140 Caro",47.866941,-2.336722,Caro,"Aire de covoiturage"
"Aire de covoiturage Poul Ar Saf","27 Rue Poul ar Saf. 29150 Cast",48.15031019,-4.14528471,Cast,"Aire de covoiturage"
"Aire de covoiturage de Lann","1062 Rue Jean Baptiste Martenot. 56850 Caudan",47.784757,-3.348774,Caudan,"Aire de covoiturage"
"Aire de covoiturage La Croix Guessant","échangeur RD 766 - RD 39",48.32844373,-2.117087738,Caulnes,"Aire de covoiturage"
"Aire de covoiturage Breizh-Izel","RD33 - RD33A",48.66289974,-3.337959874,Cavan,"Aire de covoiturage"
"Porte de La Rigourdiére","La Rigourdiére",48.11653451,-1.575827917,Cesson-Sévigné,Parking
Vaux,"Porte des Longchamps",48.1400369522069,-1.62801740990287,Cesson-Sévigné,"Aire de covoiturage"
Fontenay,"Rond point pôle sud",48.0431334967068,-1.69539899908647,Chartres-De-Bretagne,"Aire de covoiturage"
"Ruisseau de l'Illet","D97 sortie de bourg",48.2430930396079,-1.560318985275,Chasné-Sur-Illet,"Aire de covoiturage"
"Ruisseau de l'Illet","D97 sortie de bourg",48.2430930396079,-1.560318985275,Chasné-Sur-Illet,"Aire de covoiturage"
"La Goulgatière","Allée du vent d'Autan",48.1044908589803,-1.41020880689733,Châteaubourg,"Aire de covoiturage"
"Parking de l'étang 1","Boulevard du château",48.0502730873843,-1.49922800136314,Chateaugiron,"Aire de covoiturage"
"La Cigogne","Châteaugiron - Bel Air",48.0379255014265,-1.48999599958178,Chateaugiron,"Aire de covoiturage"
Univer,"Route de Vern-sur-Seiche",48.0426993324452,-1.51755167793159,Chateaugiron,"Aire de covoiturage"
"Parking de l'étang 2",,48.049716919548,-1.50109396776481,Chateaugiron,"Aire de covoiturage"
"Aire de covoiturage Le Pouillot","Kroas Hent. 29150 Chateaulin",48.21589432,-4.050687921,Chateaulin,"Aire de covoiturage"
"Aire de covoiturage Kroas Lesneven","78 ZI de Kroaz Lesneven. 29520 Chéteauneuf-du-Faou",48.20233433,-3.822061995,Chateauneuf-Du-Faou,"Aire de covoiturage"
"Echangeur N24","Echangeur N24 (D334xD288)",48.0772300087276,-1.79409072545584,Chavagne,"Aire de covoiturage"
"Parking Salle des Fétes","3 Rue des Cerisiers. 56480 Cléguérec",48.125051,-3.073162,Cleguerec,Parking
"Aire de covoiturage Prat Ar C'Heff","2 Rue de Cornouaille. 29870 Coat-Méal",48.50609265,-4.545870784,"Coat Meal","Aire de covoiturage"
L'Angevine,RD795,48.4040035454711,-1.75304067563182,Combourg,"Aire de covoiturage"
