name;address;town;insee_code;postal_code;postal_code;type;longitude;latitude
"Aire de covoiturage de Intermarché. Cap Ouest";"Parc d'activé Cap Ouest. 56350 Allaire";ALLAIRE;56001;56350;56350;"Aire de covoiturage";-2.176899
"Aire de covoiturage de Sainte Julitte";"E60. 56190 Muzillac";AMBON;56002;56190;56190;"Aire de covoiturage";-2.545577
Eglise;"Arbrissel - parking de l'église";ARBRISSEL;35005;;35130;"Aire de covoiturage";-1.30347200045056
"Aire de covoiturage de Botquelen";"28 Route de Parc Botquelen. 56610 Arradon";ARRADON;56003;56610;56610;"Aire de covoiturage";-2.818309
"Aire de covoiturage de La Corne du Cerf";"D139. 56190 Arzal";ARZAL;56004;56190;56190;"Aire de covoiturage";-2.390261
"Parking Rue Leen Vihan (En Face de La Maison du Port)";"Le Crouesty. 56640 Arzon";ARZON;56005;56640;56640;"Aire de covoiturage";-2.88907
"Rond Point de Baden";"Rue de l'éle Réno. 56870 Baden";BADEN;56008;56870;56870;"Aire de covoiturage";-2.906745
"Croix Blanche";"La Croix Blanche";BAIN-DE-BRETAGNE;35012;;35470;"Aire de covoiturage";-1.68010291421574
"ZA Chateaugaillard";"Rue de la Seine";BAIN-DE-BRETAGNE;35012;;35470;"Aire de covoiturage";-1.69132066632774
"Les Landes";D60xD177;BAINS-SUR-OUST;35013;;35600;"Aire de covoiturage";-2.05742805316211
"Rue du stade";"Rue du stade";BAINS-SUR-OUST;35013;;35600;"Aire de covoiturage";-2.06984072116574
"Rue des lilas";"Rue des lilas";BALAZÉ;35015;;35500;"Aire de covoiturage";-1.18795300599971
"Pont de Baud";"Pont de Baud. 56150 Baud";BAUD;56010;56150;56150;"Aire de covoiturage";-3.017616
"Aire de covoiturage de Kermestre";"Z.A. le dresséve. 56150 Baud";BAUD;56010;56150;56150;"Aire de covoiturage";-3.010244
"Aire de covoiturage Lenn Veur";"180 Rue Jean Marie Carer. 29300 Baye";BAYE;29005;29300;29300;"Aire de covoiturage";-3.605252657
"Parking salle de sport";"Rue de la Vallée";BAZOUGE-LA-PÉROUSE;35019;;35560;"Aire de covoiturage";-1.57217338758439
"Mairie de Bécherel";Mairie;BÉCHEREL;35022;01400;35190;Parking;-1.945848333
Intercommunale;"Rennes Métropole";BÉCHEREL;35022;;35190;"Aire de covoiturage";-1.94630004256493
"Aire de covoiturage de Poulhibet";;BERNE;56014;;56240;"Aire de covoiturage";-3.384107
"La Haute Plesse";"La Haute Plesse";BETTON;35024;;35830;"Aire de covoiturage";-1.62705866596866
"Aire de covoiturage L'Orme";"Rue de l'Orme - RD 786";BINIC-ÉTABLES-SUR-MER;22055;;22520;"Aire de covoiturage";-2.826562375
"Aire de covoiturage de Bel Orient";"Parc de Bel Orient. 56140 Bohal";BOHAL;56020;56140;56140;"Aire de covoiturage";-2.455255
"Rond Point de Bel Air";"RD48 Rd Point de Bel Air";BOURG-DES-COMPTES;35033;;35890;"Aire de covoiturage";-1.674877660059
"Aire de covoiturage de Boul Sapin";"ZA de la Gare. 56700 BranDérion";BRANDERION;56021;56700;56700;"Aire de covoiturage";-3.197375
"Les 4 routes";"Les 4 routes";BRÉAL-SOUS-MONTFORT;35037;;35310;"Aire de covoiturage";-1.87775133236815
"Breal sous Vitré";"Route des Lagunes";BREAL-SOUS-VITRE;35038;;35370;"Aire de covoiturage";-1.06854432808248
"Aire de covoiturage de Kérisan";"E60. 56400 Brech";BRECH;56023;56400;56400;"Aire de covoiturage";-3.022979
"Aire de covoiturage Kerlez";"1451 Z I N 2 des Pays Bas. 29510 Briec";BRIEC;29020;29510;29510;"Aire de covoiturage";-4.029732128
"Aire de covoiturage Le Chalet";"Parking Intermarché";BROONS;22020;;22250;"Aire de covoiturage";-2.251687902
"La Louvière";"La Louvière";BRUZ;35047;;35170;"Aire de covoiturage";-1.76733307426994
"Aire de covoiturage Kerguiniou";"Giratoire RD 787 - RD 28";CALLAC;22025;;22160;"Aire de covoiturage";-3.405110898
"Aire de covoiturage de Les Vieilles Roches";"227 La Perriére. 56130 Camoél";CAMOEL;56030;56130;56130;"Aire de covoiturage";-2.385391
"Aire de covoiturage de Le Linvo";"D134. 56800 Campénéac";CAMPENEAC;56032;56800;56800;"Aire de covoiturage";-2.285434
"Aire de covoiturage Kerjeanne";"Kerjeanne. 29660 Carantec";CARANTEC;29023;29660;29660;"Aire de covoiturage";-3.923494193
"Aire de covoiturage La Villeneuve";"Parc d'Activités de la Villeneuve. Rue Général Jacques de la Bollardiére. 29270 Carhaix-Plouguer";CARHAIX-PLOUGUER;29024;29270;29270;"Aire de covoiturage";-3.539572584
"Aire de covoiturage de Le Purgatoire";"Crucuny. 56340 Carnac";CARNAC;56034;56340;56340;"Aire de covoiturage";-3.073447
