name;address;town;insee_code;postal_code;type;longitude;latitude
Aire de covoiturage de Intermarché. Cap Ouest;Parc d'activé Cap Ouest. 56350 Allaire;ALLAIRE;56001;56350;Aire de covoiturage;-2.176899;47.633338
Aire de covoiturage de Sainte Julitte;E60. 56190 Muzillac;AMBON;56002;56190;Aire de covoiturage;-2.545577;47.584446
Eglise;Arbrissel - parking de l'église;ARBRISSEL;35005;35130;Aire de covoiturage;-1.30347200045056;47.9276331656866
Aire de covoiturage de Botquelen;28 Route de Parc Botquelen. 56610 Arradon;ARRADON;56003;56610;Aire de covoiturage;-2.818309;47.64101
Aire de covoiturage de La Corne du Cerf;D139. 56190 Arzal;ARZAL;56004;56190;Aire de covoiturage;-2.390261;47.53387
Parking Rue Leen Vihan (En Face de La Maison du Port);Le Crouesty. 56640 Arzon;ARZON;56005;56640;Aire de covoiturage;-2.88907;47.545612
Rond Point de Baden;Rue de l'éle Réno. 56870 Baden;BADEN;56008;56870;Aire de covoiturage;-2.906745;47.621141
Croix Blanche;La Croix Blanche;BAIN-DE-BRETAGNE;35012;35470;Aire de covoiturage;-1.68010291421574;47.8537137505543
ZA Chateaugaillard;Rue de la Seine;BAIN-DE-BRETAGNE;35012;35470;Aire de covoiturage;-1.69132066632774;47.8518850842921
Les Landes;D60xD177;BAINS-SUR-OUST;35013;35600;Aire de covoiturage;-2.05742805316211;47.6903561648678
Rue du stade;Rue du stade;BAINS-SUR-OUST;35013;35600;Aire de covoiturage;-2.06984072116574;47.7053057781406
Rue des lilas;Rue des lilas;BALAZÉ;35015;35500;Aire de covoiturage;-1.18795300599971;48.1669917471799
Pont de Baud;Pont de Baud. 56150 Baud;BAUD;56010;56150;Aire de covoiturage;-3.017616;47.864843
Aire de covoiturage de Kermestre;Z.A. le dresséve. 56150 Baud;BAUD;56010;56150;Aire de covoiturage;-3.010244;47.89663
Aire de covoiturage Lenn Veur;180 Rue Jean Marie Carer. 29300 Baye;BAYE;29005;29300;Aire de covoiturage;-3.605252657;47.85639796
Parking salle de sport;Rue de la Vallée;BAZOUGE-LA-PÉROUSE;35019;35560;Aire de covoiturage;-1.57217338758439;48.4270692733778
Mairie de Bécherel;Mairie;BÉCHEREL;35022;35190;Parking;-1.945848333;48.29712467
Intercommunale;Rennes Métropole;BÉCHEREL;35022;35190;Aire de covoiturage;-1.94630004256493;48.2968974918323
Aire de covoiturage de Poulhibet;;BERNE;56014;56240;Aire de covoiturage;-3.384107;47.94957
La Haute Plesse;La Haute Plesse;BETTON;35024;35830;Aire de covoiturage;-1.62705866596866;48.1799018316766
Aire de covoiturage L'Orme;Rue de l'Orme - RD 786;BINIC-ÉTABLES-SUR-MER;22055;22520;Aire de covoiturage;-2.826562375;48.59408176
Aire de covoiturage de Bel Orient;Parc de Bel Orient. 56140 Bohal;BOHAL;56020;56140;Aire de covoiturage;-2.455255;47.781561
Rond Point de Bel Air;RD48 Rd Point de Bel Air;BOURG-DES-COMPTES;35033;35890;Aire de covoiturage;-1.674877660059;47.9294120395669
Aire de covoiturage de Boul Sapin;ZA de la Gare. 56700 BranDérion;BRANDERION;56021;56700;Aire de covoiturage;-3.197375;47.782196
