name,postal_code,insee_code,latitude,longitude
Allaire,56350,56001,47.633338,-2.176899
Ambon,56190,56002,47.584446,-2.545577
Arbrissel,35130,35005,47.9276331656866,-1.30347200045056
Arradon,56610,56003,47.64101,-2.818309
Arzal,56190,56004,47.53387,-2.390261
Arzon,56640,56005,47.545612,-2.88907
Baden,56870,56008,47.621141,-2.906745
Bain-de-bretagne,35470,35012,47.8537137505543,-1.68010291421574
Bains-sur-oust,35600,35013,47.6903561648678,-2.05742805316211
BalazÉ,35500,35015,48.1669917471799,-1.18795300599971
Baud,56150,56010,47.864843,-3.017616
Baye,29300,29005,47.85639796,-3.605252657
Bazouge-la-pÉrouse,35560,35019,48.4270692733778,-1.57217338758439
Becherel,35190,35022,48.29712467,-1.945848333
Berne,56240,56014,47.94957,-3.384107
Betton,35830,35024,48.1799018316766,-1.62705866596866
Binic-Étables-sur-mer,22520,22055,48.59408176,-2.826562375
Bohal,56140,56020,47.781561,-2.455255
Bourg-des-comptes,35890,35033,47.9294120395669,-1.674877660059
Branderion,56700,56021,47.782196,-3.197375
BrÉal-sous-montfort,35310,35037,48.061167083203,-1.87775133236815
Breal-sous-vitre,35370,35038,48.0992454216502,-1.06854432808248
Brech,56400,56023,47.683491,-3.022979
Briec,29510,29020,48.10050821,-4.029732128
Broons,22250,22020,48.3223247,-2.251687902
Bruz,35170,35047,48.0264241458626,-1.76733307426994
Callac,22160,22025,48.40856996,-3.405110898
Camoel,56130,56030,47.483215,-2.385391
Campeneac,56800,56032,47.940217,-2.285434
Carantec,29660,29023,48.65176241,-3.923494193
Carhaix-plouguer,29270,29024,48.27557053,-3.539572584
Carnac,56340,56034,47.621582,-3.073447
Caro,56140,56035,47.866941,-2.336722
Cast,29150,29025,48.15031019,-4.14528471
Caudan,56850,56036,47.784757,-3.348774
Caulnes,22350,22032,48.32844373,-2.117087738
Cavan,22140,22034,48.66289974,-3.337959874
Cesson-sÉvignÉ,35510,35051,48.11653451,-1.575827917
Chartres-de-bretagne,35131,35066,48.0431334967068,-1.69539899908647
ChasnÉ-sur-illet,35250,35067,48.2430930396079,-1.560318985275
ChÂteaubourg,35220,35068,48.1044908589803,-1.41020880689733
Chateaugiron,35410,35069,48.0502730873843,-1.49922800136314
Chateaulin,29150,29026,48.21589432,-4.050687921
Chateauneuf-du-faou,29520,29027,48.20233433,-3.822061995
Chavagne,35310,35076,48.0772300087276,-1.79409072545584
Cleguerec,56480,56041,48.125051,-3.073162
"Coat Meal",29870,29035,48.50609265,-4.545870784
Combourg,35270,35085,48.4040035454711,-1.75304067563182
Combrit,29120,29037,47.90848155,-4.191780041
Concarneau,29900,29039,47.92190062,-3.901725832
Confort-meilars,29790,29145,48.05100334,-4.426988664
Coray,29370,29041,48.05859023,-3.833272568
Corps-nuds,35150,35088,47.9773812706605,-1.56062840030398
Corseul,22130,22048,48.47933323,-2.15879366
Crach,56950,56046,47.667165,-3.016363
Crevin,35320,35090,47.9374553014561,-1.66636511370342
